name,canonical_url,priority_tier,priority_reason,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,source_file,verification_status,delivery_status,eligibility_reason
IFOAM Organics International,https://ifoam.bio/,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",English/Multilingual,Global,farmer_association_group,,2026-08-17,https://ifoam.bio/news-and-press,organic agriculture,FarmerBook's professional farmer profiles and commission-free produce marketplace could help IFOAM Organics International's organic agriculture community build trusted professional identity and direct buyer connections.,https://ifoam.bio/about-us/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Boss Wallah - Farming Hindi,https://youtube.com/channel/UCgvzleUr1gP9JdwbSdgSQWg,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",Hindi,,youtube_creator,,2026-08,https://socialcounts.org/youtube-live-subscriber-count/UCgvzleUr1gP9JdwbSdgSQWg,"Crops, livestock, organic farming, technology and government schemes",Its broad Hindi agribusiness audience could use FarmerBook professional profiles to showcase enterprises and pursue commission-free direct trade.,,hindi_leads.csv,verified_current_channel_index; exact_upload_date_not_indexed,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Hello Kisaan,https://youtube.com/@HelloKisaan,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",Hindi,,youtube_creator,,2026-06-22,https://socialcounts.org/youtube-channel-analytics/UCMD4aGl7ffTzjZfc2QnsA7w,"Practical farming, machinery, organic methods and farmer stories",Its hands-on farmer audience could turn educational engagement into professional FarmerBook profiles and direct commission-free produce-market connections.,https://hellokisaan.com/,hindi_leads.csv,verified_current_channel_activity_index_and_official_site,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Ravizone Farming Leader,https://youtube.com/c/RavizoneFarmingLeader,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",Hindi,,youtube_creator,,2026-06,https://hypeauditor.com/youtube/UCGR0bagfzpUuPub4cDpvUmA,"Livestock, organic farming, machinery and farm technology",Its mixed crop-and-livestock audience could showcase farm enterprises through FarmerBook profiles and reach suitable direct buyers and wholesalers.,,hindi_leads.csv,verified_current_2026_channel_analytics; exact_upload_date_not_indexed,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Technical Farming,https://youtube.com/@technicalfarming,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",Hindi,,youtube_creator,,2026-07-28,https://socialcounts.org/youtube-channel-analytics/UCKJ_i4CooBkhAjHpS6pVvVg,Modern and organic farming techniques and farmer success stories,Its cost-conscious modern-farming audience is a strong fit for FarmerBook profiles and commission-free access to direct produce buyers and wholesalers.,,hindi_leads.csv,verified_current_channel_activity_index,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
MAD GARDENER,https://youtube.com/@madgardener,1_natural_organic,"Natural, organic, regenerative, or agroecological focus",Telugu,,youtube_creator,760K,2026-03-06,https://speakrj.com/audit/report/UC1Wk3b--QQ-vMDoUgSom3Cw/youtube/media-stats,Organic terrace gardening; kitchen gardening; vegetables and home-grown produce,Its large Telugu organic-growing community could showcase FarmerBook profiles for serious growers and help them discover commission-free direct produce demand.,https://madgardener.graphy.com/,telugu_leads.csv,medium_official_identity_plus_dated_channel_activity_index,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Ghana Federation of Forest and Farm Producers,https://ghaffap.org/,2_sustainable_smallholder,Sustainable or smallholder farming focus,English,Ghana,farmer_association_group,,2026-08-17,https://ghaffap.org/news,forest and farm producer organisations,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ghana Federation of Forest and Farm Producers's forest and farm producer organisations community build trusted professional identity and direct buyer connections.,https://ghaffap.org/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
PAKISAMA,https://pakisama.com/,2_sustainable_smallholder,Sustainable or smallholder farming focus,English/Filipino,Philippines,farmer_association_group,,2026-08-17,https://pakisama.com/news-and-projects,smallholder farmer confederation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help PAKISAMA's smallholder farmer confederation community build trusted professional identity and direct buyer connections.,https://pakisama.com/old-contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
National Farmers Union Canada,https://nfu.ca/,2_sustainable_smallholder,Sustainable or smallholder farming focus,English/French,Canada,farmer_association_group,,2026-08-17,https://nfu.ca/news,family farm advocacy,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Farmers Union Canada's family farm advocacy community build trusted professional identity and direct buyer connections.,https://nfu.ca/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
Asian Farmers Association for Sustainable Rural Development,https://asianfarmers.org/,2_sustainable_smallholder,Sustainable or smallholder farming focus,English/Multilingual,Asia,farmer_association_group,,2026-08-17,https://asianfarmers.org/category/resources/publications/impact-stories,smallholder and family farmer networks,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asian Farmers Association for Sustainable Rural Development's smallholder and family farmer networks community build trusted professional identity and direct buyer connections.,https://asianfarmers.org/,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected,awaiting_verified_consent,No current channel- and purpose-specific consent receipt
