channel_name,channel_url,language,last_active,evidence_url,topic,personalization_note,official_contact_page_url,verification_status
"My Kisan Dost","https://www.youtube.com/c/MyKisanDost","Hindi","2026-01-13","https://www.youtube.com/watch?v=TK3vllGqyt8","Small-farm machinery and practical cultivation","Its small-farmer and machinery audience could use FarmerBook professional profiles to present farm capacity and create commission-free produce listings for direct buyers and wholesalers.","https://www.mykisandost.com/","verified_indexed_exact_video_and_canonical_channel"
"Technical Farming","https://www.youtube.com/@technicalfarming","Hindi","2026-07-28","https://socialcounts.org/youtube-channel-analytics/UCKJ_i4CooBkhAjHpS6pVvVg","Modern and organic farming techniques and farmer success stories","Its cost-conscious modern-farming audience is a strong fit for FarmerBook profiles and commission-free access to direct produce buyers and wholesalers.","","verified_current_channel_activity_index"
"Tractor Junction","https://www.youtube.com/@tractorjunction","Hindi/Hinglish","2026-07-15","https://socialblade.com/youtube/handle/tractorjunction","Farm machinery reviews and the agricultural equipment marketplace","Its machinery-focused growers could add professional FarmerBook profiles that show operational capacity while listing produce directly to buyers without commission.","https://www.tractorjunction.com/contact-us/","verified_current_channel_activity_index"
"Farming Leader","https://www.youtube.com/@farmingleaderOfficial","Hindi","2026-06-04","https://agrospectrumindia.com/2026/06/04/balwaan-krishi-acquires-indias-largest-agri-youtube-platform.html","Field-tested crop practices, equipment, government schemes and mandi insights","Its large practical-farming community is well aligned with FarmerBook professional grower profiles and commission-free buyer and wholesaler discovery.","https://balwaan.com/about-us","verified_current_2026_industry_source_and_canonical_channel"
"Hello Kisaan","https://www.youtube.com/@HelloKisaan","Hindi","2026-06-22","https://socialcounts.org/youtube-channel-analytics/UCMD4aGl7ffTzjZfc2QnsA7w","Practical farming, machinery, organic methods and farmer stories","Its hands-on farmer audience could turn educational engagement into professional FarmerBook profiles and direct commission-free produce-market connections.","https://hellokisaan.com/","verified_current_channel_activity_index_and_official_site"
"Ravizone Farming Leader","https://www.youtube.com/c/RavizoneFarmingLeader","Hindi","2026-06","https://hypeauditor.com/youtube/UCGR0bagfzpUuPub4cDpvUmA/","Livestock, organic farming, machinery and farm technology","Its mixed crop-and-livestock audience could showcase farm enterprises through FarmerBook profiles and reach suitable direct buyers and wholesalers.","","verified_current_2026_channel_analytics; exact_upload_date_not_indexed"
"India Farming Management","https://www.youtube.com/@indiafarmingmanagement","Hindi","2026-06-23","https://vidiq.com/youtube-stats/channel/UCtYn65BqtwwC5hg-O2gVtDA/","Dairy farm management, commercial operations and equipment","Its commercially minded dairy and farm-operations audience matches FarmerBook's professional profiles and direct commission-free market access.","","verified_current_channel_activity_index"
"Agritech Guruji","https://www.youtube.com/@AgritechGuruji","Hindi","2026-03-12","https://www.agritechguruji.com/","Farm machinery, tractor reviews, crop advice and mandi information","Its machinery and mandi-aware audience could use FarmerBook to document farm capabilities and list produce commission-free to direct buyers and wholesalers.","https://www.agritechguruji.com/","verified_first_party_current_2026_content_and_canonical_channel"
"Indian Farm Rover","https://www.youtube.com/@IndianFarmRover","Hindi","2026-01-08","https://www.youtube.com/watch?v=mjks7f6kdLA","Dairy, livestock and on-farm enterprise visits","Its farm-visit and dairy audience could build credible FarmerBook enterprise profiles and connect directly with relevant buyers without marketplace commission.","","verified_indexed_exact_video_and_canonical_channel"
"Kisan India","https://www.youtube.com/@kisanindia","Hindi","2026-02-27","https://www.youtube.com/watch?v=q4GMPuTdtwM","Agriculture news, livestock, mandi updates and government schemes","Its scheme- and market-focused farmers could use FarmerBook profiles to convert new opportunities into commission-free direct buyer and wholesaler relationships.","https://www.kisanindia.in/contact-us","verified_indexed_exact_video_and_first_party_site"
"Kisan Tak","https://www.youtube.com/@kisantakofficial","Hindi","2026-01-07","https://www.youtube.com/watch?v=nufgB2qAQAY","Crop economics, agricultural news, schemes and livestock","Its crop-market and policy audience is relevant for FarmerBook's professional farmer discovery and commission-free direct produce listings.","https://www.kisantak.in/","verified_indexed_exact_video_and_first_party_channel_link"
"Apni Kheti","https://www.youtube.com/@ApniKheti","Hindi","2026-01-16","https://www.youtube.com/watch?v=6wt7QV3e_Fs","Crop and livestock advisory with practical cultivation lessons","Its advisory-led growers could document their crops through FarmerBook profiles and meet direct buyers and wholesalers without paying marketplace commission.","https://apnikheti.com/","verified_indexed_exact_video_and_official_site"
"Mhari Kheti Mhare Pashu","https://www.youtube.com/channel/UCLVe88C-5CAGaAuXoV2pVFA","Hindi","2026-03-29","https://www.youtube.com/watch?v=kIPS4ivud0E","Integrated crop cultivation and animal husbandry","Its integrated farming and animal-husbandry audience could present diversified farm enterprises on FarmerBook and seek direct commission-free market connections.","","verified_indexed_exact_video_and_channel_id"
"Agriculture RS Rajput","https://www.youtube.com/channel/UCfaFFkQzaH0WkmQJdTlfxLQ","Hindi","2026-06-12","https://vidiq.com/youtube-stats/channel/%40agriculturersrajput/","Agriculture education, crop policy, MSP and animal husbandry","Its agriculture-learning audience could graduate from information to professional FarmerBook profiles and direct, commission-free buyer discovery.","https://www.krishipariksha.com/","verified_current_channel_activity_index_and_official_community_link"
