name,canonical_url,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,verification_status
African Forum for Agricultural Advisory Services,https://afaas-africa.org/,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://afaas-africa.org/blog/,farmer advisory services and extension,FarmerBook's professional farmer profiles and commission-free produce marketplace could help African Forum for Agricultural Advisory Services's farmer advisory services and extension community build trusted professional identity and direct buyer connections.,https://afaas-africa.org/contact-us/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Sociedad Rural Argentina (SRA),https://www.sra.ar/,Spanish,Argentina,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Sociedad Rural Argentina (SRA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.sra.ar/,verified_current_official_member_directory; contact_surface_needs_manual_review
Asian Farmers Association for Sustainable Rural Development,https://asianfarmers.org,English/Multilingual,Asia,farmer_association_group,,2026-08-17,https://asianfarmers.org/category/resources/publications/impact-stories/,smallholder and family farmer networks,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asian Farmers Association for Sustainable Rural Development's smallholder and family farmer networks community build trusted professional identity and direct buyer connections.,https://asianfarmers.org,verified_official_site_and_public_contact_surface; no_contact_values_collected
National Farmers’ Federation (NFF),https://nff.org.au/,English,Australia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Farmers’ Federation (NFF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://nff.org.au/,verified_current_official_member_directory; contact_surface_needs_manual_review
Landwirtschaftskammer Österreich (LKÖ),https://www.lko.at,German,Austria,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landwirtschaftskammer Österreich (LKÖ)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.lko.at,verified_current_official_member_directory; contact_surface_needs_manual_review
Boerenbond (BB),https://www.boerenbond.be,Dutch/French,Belgium,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Boerenbond (BB)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.boerenbond.be,verified_current_official_member_directory; contact_surface_needs_manual_review
Botswana Farmers Association (BOFA),https://www.facebook.com/bofabw,English/Multilingual,Botswana,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Botswana Farmers Association (BOFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/bofabw,verified_current_official_member_directory; contact_surface_needs_manual_review
Confederação da Agricultura e Pecuária do Brasil (CNA),https://www.cnabrasil.org.br/,Portuguese,Brazil,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confederação da Agricultura e Pecuária do Brasil (CNA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.cnabrasil.org.br/,verified_current_official_member_directory; contact_surface_needs_manual_review
Bull Breeding Association Bulgaria (BBAB),https://bbab.bg/?lang=en,English/Multilingual,Bulgaria,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Bull Breeding Association Bulgaria (BBAB)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://bbab.bg/?lang=en,verified_current_official_member_directory; contact_surface_needs_manual_review
Fédération Nationale des Jeunes Professionnels Agricoles du Faso (FNJPA-F),https://www.facebook.com/fnjpaf/,English/Multilingual,Burkina Faso,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fédération Nationale des Jeunes Professionnels Agricoles du Faso (FNJPA-F)'s young farmers community build trusted professional identity and direct buyer connections.,https://www.facebook.com/fnjpaf/,verified_current_official_member_directory; contact_surface_needs_manual_review
